2024-12-19 10:14:59, GET, hozwe, Retrieved a new stall record
2024-12-19 16:16:46, GET, hozwe, Retrieved a new stall record
2024-12-19 16:18:09, GET, hozwe, Retrieved a new stall record
2024-12-19 16:20:28, GET, hozwe, Retrieved a new stall record
2024-12-19 16:20:42, GET, hozwe, Retrieved a new stall record
2024-12-19 16:21:52, GET, hozwe, Retrieved a new stall record
2024-12-19 16:23:28, GET, hozwe, Retrieved a new stall record
2024-12-19 16:24:25, GET, hozwe, Retrieved a new stall record
2024-12-19 20:46:55, GET, hozwe, Retrieved a new stall record
2024-12-19 20:47:14, GET, hozwe, Retrieved a new stall record
2024-12-19 20:54:45, GET, hozwe, Retrieved a new stall record
2024-12-19 21:36:54, GET, hozwe, Retrieved a new stall record
2024-12-19 21:44:40, GET, hozwe, Retrieved a new stall record
2024-12-19 21:54:51, GET, hozwe, Retrieved a new stall record
2024-12-19 21:58:34, GET, hozwe, Retrieved a new stall record
2024-12-19 22:17:35, GET, hozwe, Retrieved a new stall record
2024-12-19 22:23:34, GET, hozwe, Retrieved a new stall record
2024-12-19 22:25:33, GET, hozwe, Retrieved a new stall record
2024-12-19 22:39:18, GET, hozwe, Retrieved a new stall record
2024-12-19 22:39:42, GET, hozwe, Retrieved a new stall record
2024-12-19 22:39:48, GET, hozwe, Retrieved a new stall record
2024-12-19 22:39:59, POST, hozwe,SQLSTATE[42S22]: Column not found: 1054 Unknown column 'data' in 'field list'
2024-12-19 22:40:06, GET, hozwe, Retrieved a new stall record
2024-12-19 22:47:31, GET, hozwe, Retrieved a new stall record
2024-12-19 22:47:47, GET, hozwe, Retrieved a new stall record
2024-12-19 22:48:00, GET, hozwe, Retrieved a new stall record
2024-12-19 22:48:02, GET, hozwe, Retrieved a new stall record
2024-12-19 22:48:27, GET, hozwe, Retrieved a new stall record
2024-12-19 22:48:33, GET, hozwe, Retrieved a new stall record
2024-12-19 23:07:03, GET, hozwe, Retrieved a new stall record
2024-12-19 23:07:24, GET, hozwe, Retrieved a new stall record
2024-12-19 23:11:08, GET, hozwe, Retrieved a new stall record
2024-12-19 23:12:23, POST, hozwe,SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '07' for key 'StallNumber'
2024-12-19 23:12:33, GET, hozwe, Retrieved a new stall record
2024-12-19 23:12:52, GET, hozwe, Retrieved a new stall record
2024-12-19 23:12:55, POST, hozwe,SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`marketstall_db`.`stall_tbl`, CONSTRAINT `stall_tbl_ibfk_1` FOREIGN KEY (`StallholderID`) REFERENCES `stallholder_tbl` (`StallholderID`))
2024-12-19 23:14:12, POST, hozwe,SQLSTATE[23000]: Integrity constraint violation: 1452 Cannot add or update a child row: a foreign key constraint fails (`marketstall_db`.`stall_tbl`, CONSTRAINT `stall_tbl_ibfk_1` FOREIGN KEY (`StallholderID`) REFERENCES `stallholder_tbl` (`StallholderID`))
2024-12-19 23:14:30, GET, hozwe, Retrieved a new stall record
